source1_entity_id	matched_entity_ids
S1-113946951	S2-444058342,S2-743654809,S2-147442636,S3-270274320,S3-865998876
S1-114032603	S3-337381470
S1-114144410	S2-46323170,S3-980141555,S3-281576467
S1-114307063	S2-345419606,S3-886699862
S1-114346855	S2-484487270,S2-140642556,S3-138734399
S1-11510001	S3-446043486,S3-618003271
S1-115178263	S2-795820235,S2-366745531,S3-400700085
S1-115854912	S2-410537182,S2-200246023,S3-987504231,S3-762776331,S3-854670162,S3-189521913
S1-115957309	S2-310514898,S3-623134313
S1-116176160	S2-761464090,S3-61168343
S1-116177	S2-4050615,S2-802463380
S1-116338782	
S1-116838967	S2-730916708
S1-116900265	S2-598829388,S2-12457390,S3-289546062,S3-252944210,S3-41270146
S1-117047297	S2-72804007,S3-782456081,S3-436977034,S3-123086714
S1-117048649	S2-147952313,S2-167153547,S3-962136230
S1-117321831	S2-229268750,S2-822044097,S2-352623382,S3-715615431
S1-117584702	S2-516163035,S2-806717103,S3-751379420,S3-912101830,S3-762948763
S1-118144180	S2-481800300,S2-421992766,S2-229651499,S2-132861814,S3-879016721
S1-118462061	S3-239292076,S3-666745229,S3-250239332
S1-118477314	S2-987962635,S3-462395734,S3-408585017
S1-118502154	S2-570840006,S2-84462712,S2-576729383,S2-315738138,S3-592354415,S3-896803713
S1-118773253	S2-991085653,S3-76154686,S3-71499084,S3-106858818
S1-118784559	S2-675014776,S2-198690304,S2-543265573,S3-210918980,S3-895920986,S3-893116809
S1-119008218	S2-574746488,S3-169664067
S1-119033930	S2-218144725,S3-745743078,S3-45249084
S1-119666499	
S1-12075135	S2-886461076
S1-120775250	S2-105058030,S2-891203438,S2-352607441,S2-459038369,S3-658260238,S3-61217742,S3-738328936
S1-12093078	S2-510120358,S3-144338647,S3-371745608,S3-820452052
S1-121009264	S2-931622017,S3-251642036,S3-916603689,S3-911794354
S1-121332262	S3-226620680,S3-327152351,S3-148053658
S1-121717159	S2-581361414,S3-234375408,S3-975316492
S1-121818990	S2-447582427,S3-711156558,S3-695886444
S1-121953695	S2-692938791,S3-43602801,S3-275077561,S3-89218331
S1-12240557	S2-262548013,S3-454073329
S1-123130491	S2-721029678,S3-809459492
S1-123330682	S2-8518609,S2-152311009,S3-289481789,S3-786618059,S3-465098617
S1-123375455	S2-120518207,S2-616889820,S2-320934823,S2-683555989,S3-143214262,S3-886005244,S3-700902829
S1-123555068	S3-812637249,S3-645148460,S3-741682529
S1-123636921	S2-199346578,S2-132285992,S3-156243891
S1-123862687	S2-978640932,S2-248918679,S3-754096613,S3-425576510
S1-124236812	S2-572147159,S3-453970550,S3-200303827,S3-583669966
S1-124237025	S2-177380889
S1-124461485	S2-152971069,S2-287705183,S2-956285839,S2-223735303,S3-610687054
S1-124664286	
S1-125627390	S2-209176813,S3-641376499,S3-634832082
S1-125905322	S2-500847490,S2-511784550,S2-766959067,S3-994766010,S3-229436504,S3-998610575,S3-889904422
S1-126022071	S2-689638893,S2-256743409,S2-75132969,S3-285643585,S3-41744905
S1-126290320	S2-95966533,S3-364308234
S1-128032366	S2-988150592,S2-969622354,S3-14291072,S3-881433976,S3-786261969
S1-128350097	S2-522197637,S2-928954639,S2-121897499,S2-268413508,S3-171876122,S3-541751359,S3-789545794
S1-128595370	S2-995896315,S2-530154398,S2-42528949,S3-505407504
S1-128777239	S2-541493234,S3-597241168,S3-812276599
S1-129391126	S2-925076068,S2-201054206,S3-667305692,S3-597384503
S1-129985911	
S1-130345826	S2-248029871,S3-645038980,S3-46003470
S1-130957177	S2-408866262,S3-506259467,S3-585852181,S3-923212746,S3-537445841
S1-13194029	S2-876893786,S2-224561182,S3-777046737
S1-132449362	S2-737533548,S3-740677107,S3-417150594,S3-890956063,S3-43403457,S3-199994911,S3-953333893
S1-132586451	S2-722956795,S3-966071880
S1-132912629	S2-120490083,S2-621165917,S3-78696606
S1-133050338	S2-210899844,S2-978171371,S3-491438751,S3-283192436,S3-604998008
S1-133393847	S2-134940740,S2-246996991,S2-199161930,S2-783421333,S2-812047498,S3-967600497,S3-79161126
S1-133479118	S2-922712876,S3-709185163,S3-602673612,S3-493415409,S3-403644134
S1-133571899	S2-46380040,S3-394603475,S3-613068215,S3-242870199
S1-133902932	S2-763470160,S3-743717620,S3-702219540,S3-323523450
S1-133908979	S2-689997891,S3-815188606,S3-22321313,S3-604350729,S3-468508289,S3-218053805
S1-134316565	S2-970066129,S2-508663879,S2-432217514,S3-959370295,S3-25969919,S3-195558906
S1-13511214	S2-25215681,S2-388063934,S2-677020800,S2-180119584,S3-715968332
S1-135222686	S2-796039826,S2-678124351,S3-627844153,S3-581491729
S1-135251474	S2-29839348,S2-181184985,S3-924378606,S3-428216887,S3-559960795
S1-135636981	
S1-136157050	S2-990847867,S2-50574296,S3-413960506,S3-232692325,S3-480686306,S3-763267856,S3-791994794
S1-136645993	S2-969110010,S2-726380708,S3-457562215,S3-285756860,S3-702966733,S3-872820774
S1-136933096	S2-866518535,S2-398021126,S2-207870499,S3-417307748,S3-83826747
S1-13756671	S2-80091544
S1-137573948	S3-676771052
S1-138006264	S2-777383258,S3-114725247,S3-938908672
S1-138256304	S2-653413228,S3-179719493,S3-153517200
S1-138351920	S2-537264428,S2-807475812,S2-128273531,S3-569863137,S3-965010941,S3-820323500
S1-138353866	S2-475615069,S2-453666489,S3-899269237
S1-138419700	S2-526773465,S2-514031004,S2-560002132,S3-245145629
S1-139000701	S2-338354439,S3-920027285,S3-437426916,S3-12050249
S1-139063364	S2-110042743,S3-162878027
S1-139235239	S2-145520211,S2-505101886,S2-980807298,S3-105717819,S3-32591577
S1-139401572	S2-546649066,S2-4195066,S3-298983021,S3-950867925,S3-741971330
S1-139619805	S2-800233585,S2-307706648,S2-61253037,S3-924358017,S3-103564473,S3-320100714
S1-139707378	S2-504459617,S2-733469786,S3-116690744
S1-13979681	S2-667437916,S3-182961272,S3-582970491,S3-224700639,S3-370107246
S1-139998995	S2-851576052,S2-176688481,S3-692303561,S3-68347334,S3-241913054,S3-220594416
S1-140018104	S2-929451855,S3-732621261,S3-182249565
S1-140176981	S2-603186246
S1-140546152	S2-66500934
S1-140655586	S2-251037086,S2-60875597,S2-502706205,S3-693134020
S1-140915305	S3-131579096,S3-922634740
S1-141683936	S2-815837877,S2-885574157,S2-51704406,S3-575536882,S3-609656929,S3-550874191,S3-639365964
S1-141784862	S2-442397226,S3-483398348
S1-14181542	S2-909656388,S3-777577489,S3-361173159
S1-141941354	S2-74007998,S2-307833066
S1-142161944	
S1-142228333	S2-439610554,S2-667799453,S3-499510425
S1-142550690	S2-978565028,S3-972100558
S1-142553519	S2-852633529,S2-617761847,S3-362159465,S3-445970061
S1-142832040	S2-154782356,S2-833795478,S2-716794091,S3-845174745,S3-593700131
S1-143155407	S2-22369935,S3-786734092,S3-299386778,S3-784386525,S3-662478950
S1-144223421	S3-277737449,S3-843705653
S1-144296491	S2-714151888,S2-59914339,S3-690290511
S1-144329304	
S1-144406637	S2-210284764,S2-102942862,S3-711709706,S3-299831760
S1-144525073	S2-776849644,S3-162022375
S1-144659903	S2-481459118,S2-975293667,S2-745659713,S2-268329963,S3-113686227
S1-144726395	S2-134005632,S2-957609289
S1-144748187	S2-921645598
S1-14503478	S2-160246266,S2-296181512,S3-563331909
S1-14516084	S2-134650115,S2-122537832,S2-318969298,S3-342694025
S1-145276542	S2-593468467,S2-45513845,S3-185468998
S1-145480834	S2-388087152,S2-178832093,S3-234070776
S1-145485432	S2-13808676,S2-634532139,S2-488475367,S3-363174297,S3-546652758
S1-145490067	S2-542369725,S2-386430024,S3-230421305,S3-345085995
S1-145562720	S2-206802660,S2-428458146,S2-649199587,S3-172008014,S3-753207574
S1-146140598	S2-951798784
S1-146307722	S2-453490122,S2-930249454,S2-13478272,S3-444817997,S3-240124568,S3-937946101
S1-146312018	S2-80272729,S2-674092319,S2-33125209,S2-903060443,S3-800549082
S1-146795545	S2-146819157,S3-962706095
S1-146798100	S2-924640867,S3-690033740,S3-37279591
S1-147212186	S2-848918368
S1-14722979	S2-437471800,S3-432068849
S1-147273928	S2-960097149,S2-488233906,S3-661464306
S1-147366289	S2-142141403,S3-891208668,S3-545912885
S1-147967017	S2-890026668,S2-326401989,S3-454848985
S1-148055400	S2-791622996,S2-690533894,S3-220732265
S1-148320332	S2-334699467
S1-148546092	
S1-149175191	S2-655306966,S3-4580463
S1-149498539	S2-655294221,S2-152497146,S2-141460586,S3-860918447
S1-149615573	S2-853942812,S2-434738293,S2-755076324,S3-67895914,S3-999522480,S3-490096245
S1-149756625	
S1-149898575	S2-219498817,S2-887657633,S3-933183664
S1-150089224	S2-949724056,S3-655070981,S3-400790586
S1-150792804	
S1-151025970	S2-525784164,S3-346135097
S1-15105893	S2-331353744,S3-902049188,S3-186654634
S1-15133345	S2-759531304,S2-363951325,S2-534878690,S3-82383033,S3-606761254,S3-292732657
S1-151798010	S2-548106148,S3-341328731,S3-702172369,S3-226465878
S1-152016818	S2-493903024,S3-922469770,S3-931037016
S1-152106212	S3-251485763,S3-314676892
S1-152672519	S2-40333680,S3-381544741,S3-983010097,S3-881927691,S3-844891644
S1-152731297	S2-377938746,S2-493051152,S2-902844225,S3-399978436,S3-641648111,S3-891372463
S1-152751171	S2-732682077,S2-161955181,S2-139797065,S3-565867187,S3-470852070
S1-152896439	S2-378446158,S2-783176260,S3-929764787
S1-153485613	S2-392610613,S2-459338571
S1-153594731	S2-209658522,S2-499747271,S3-677554199,S3-465972250,S3-461953148
S1-153609913	S2-355579218,S2-463135355,S3-292098750,S3-221664304,S3-509638887
S1-15403568	
S1-154167572	S2-729527194,S3-922448418
S1-154182001	S2-253314738,S2-230033349,S2-247485274,S2-818625585,S3-441084163
S1-154854825	S2-535646005,S3-279281452,S3-906774224
S1-155033161	S2-740918574,S2-108148444,S3-380699791,S3-758241684,S3-347575702
S1-155344653	S2-642219787,S3-497839388
S1-155365106	S2-582301410,S3-493403891
S1-155714047	S2-944837170,S3-870561286,S3-569030469
S1-15576435	S3-56400796,S3-127354316,S3-666528741,S3-595733963
S1-155799136	S2-639934596,S2-456416966,S2-810027578,S3-344150764,S3-952412839
S1-155840225	S2-640883675,S3-523530588,S3-430146803,S3-531151141,S3-45917131,S3-115915832
S1-156341291	S2-574747249,S2-526900093,S3-723440682
S1-157030035	S2-202498493,S2-735129969,S2-509426356,S3-42841321
S1-157075971	S2-88445784,S2-211121716,S3-308729184
S1-157731220	S2-755819310,S3-34073840,S3-235867354,S3-55984273
S1-157863931	S2-420331928,S2-383138470,S3-896507352
S1-158009900	S2-16329366,S3-151739011,S3-686861456,S3-125070393
S1-158196518	S2-196432798,S3-657814078,S3-277676897,S3-111013241
S1-158409228	S2-591929534,S2-289636573,S2-438243225,S2-935677414,S3-241428461,S3-882252107,S3-286244424,S3-286615172
S1-158534901	
S1-158753049	S2-350396364,S2-787565878,S2-988324866,S2-604264016,S3-620804920,S3-460996033
S1-159104980	S2-779507242,S3-216175149
S1-159431942	S2-499432564,S2-488837006
S1-159641046	S2-264454826,S3-471339326,S3-589342278
S1-159745385	S2-889809619,S3-559842015,S3-127715999
S1-159871837	
S1-159913926	S2-348187600,S3-570652341,S3-655188335
S1-160393706	S2-869711874,S3-534513182,S3-528894740
S1-160812869	S2-77516376,S3-108068657,S3-842837153
S1-161473715	S2-240837558,S3-618499123
S1-161921922	S2-613834773,S2-754877481,S3-4015217,S3-311440245
S1-162026563	S2-959772331,S3-137486842,S3-291064210
S1-1621510	S2-40677644,S2-314337419,S3-434940063,S3-893005957
S1-162510200	S2-224165014,S3-377042153,S3-27927131,S3-846986651
S1-162947724	S2-747629538,S2-88504976,S3-628934622
S1-163249957	S2-31859358,S3-317047386,S3-404613688,S3-869674570
S1-163908522	S2-614456505,S2-593284431,S3-190809662,S3-812887478
S1-164081713	S2-86251493,S2-320022558,S2-900805264,S2-353412345,S2-940155859,S3-947621347,S3-293482044
S1-164236538	S2-372227455,S3-12262859,S3-288089967
S1-164245960	S2-520191875,S2-545777853,S3-153532515
S1-164586919	S2-196833241,S2-863806703,S2-792014671,S3-311020666
S1-164615504	S3-852534575
S1-164960342	S2-27940112,S2-109787201,S2-957786221,S3-750010337,S3-981760309
S1-165492357	S2-382173035,S3-11233050,S3-761805529
S1-165879099	S2-327347383,S2-400493204,S3-225128055,S3-441779672
S1-166141123	
S1-166187937	S2-723136052,S2-455371513,S3-225490877,S3-524857219,S3-808000666,S3-850800755
S1-166440928	S2-157507310,S2-696672788,S3-212466187
S1-166567943	S2-784068694,S3-673342043,S3-991162658,S3-612098144
S1-166822891	S2-510427497,S2-934556302,S2-230692249,S3-825002976
S1-167098629	S2-681518764,S2-153823849,S3-296084531,S3-227962487
S1-16731525	S3-336629874
S1-167866604	S2-929973616,S2-859241836,S2-139906359,S3-626475208
S1-168276702	S2-180595148,S2-313568623,S3-111154851,S3-798863423,S3-401352753,S3-785191039,S3-308291657
S1-168599179	S2-334609718,S3-166981825,S3-827105745
S1-169094796	S2-314044844,S3-315100850,S3-18614329
S1-169164639	S3-698921924,S3-333113488,S3-461269482
S1-169338169	S2-626887099,S2-851548432,S2-519047819,S3-345350625,S3-295452308
S1-169564442	S2-896093554,S2-267060219,S3-809168811
S1-169612171	
S1-169634580	S2-254208520,S3-413804205,S3-858655723,S3-431939661
S1-170142243	S2-288111971,S3-578523134,S3-902600024
S1-171226928	S2-92946079,S2-518443780,S2-632375397,S3-564493388,S3-30327252,S3-983818106
S1-171679630	S2-572337224,S2-851254223,S2-226341273,S3-882840048,S3-97473035
S1-172453620	S2-318703039,S3-606680300,S3-861658093,S3-302405551
S1-172627624	S3-525263783
S1-173123445	S2-16843435,S3-122480302,S3-642790147
S1-173485321	S2-120313486,S3-999526016
S1-174146241	S2-906926745,S2-937892947,S2-311455014,S3-531792619
S1-174234108	S2-537574794,S3-999001990,S3-822360802
S1-174290728	S3-383468836,S3-334495956
S1-174434806	
S1-174502099	
S1-174575092	S2-456479780,S2-49696550,S2-842531439,S3-107506795,S3-532501824,S3-453685454,S3-54342666,S3-949018687
S1-17463957	S2-956607497,S2-399261475,S3-827363192,S3-835462857
S1-174657	S3-218448202,S3-128008293
S1-175111461	S2-429308620,S2-883484447,S2-838267419,S3-473343865
S1-175157350	S2-35990836,S2-770737964,S2-70843907,S2-873479366,S3-62487358
S1-175168450	S2-855849152,S2-610031891,S3-746860581
S1-175389879	S2-316849021,S2-759264960,S2-891593356,S3-722464448,S3-427380869
S1-175441667	S2-502921707,S2-144238007,S3-721589633,S3-516899383
S1-175691750	S2-864323264,S2-708900572,S2-452533681,S3-940067798,S3-661230846,S3-76820376
S1-175958699	S2-795938382,S2-289876754,S2-523040570,S3-767027537,S3-963639772
S1-176336021	S2-80509161,S3-225888889,S3-893893792,S3-122034320
S1-176616076	S2-679266499,S3-841073006,S3-717822860
S1-176895558	S3-172218616,S3-869823559
S1-176944060	S3-906590818,S3-970010054,S3-137232069,S3-872336426
S1-177548932	
S1-177622378	S2-48866632,S2-242869206,S2-713143473,S3-669703680
S1-177669122	S2-436763530,S3-785645002,S3-789633012
S1-178139149	
S1-178294692	S2-425527496
S1-178656456	S2-471284169,S3-103827885,S3-558261193,S3-597286025
S1-179003866	S2-206863770,S3-733537355,S3-442662985
S1-179030333	S2-500537857,S3-725568733,S3-914056373
S1-179271772	S2-436481063,S2-315694684,S3-838479455
S1-17937860	S2-139994175,S2-183837214,S2-948014991,S3-774600435,S3-845770750
S1-179526359	S2-198942029,S2-409800989,S2-10061984,S2-918820386,S3-69942990
S1-180372325	S3-8030971,S3-195093887
S1-180557072	S2-148667222,S3-223450999,S3-6830911,S3-632381750,S3-620448635
S1-180923763	S2-765215458,S3-140566609,S3-317616865,S3-383058167
S1-180936752	S2-244905091,S3-733775351,S3-60886413,S3-599966432
S1-181105164	S2-126952128,S2-899345775,S3-504251534,S3-573523825
S1-181252930	S2-277335667,S2-460203928,S2-540735970,S2-954749787,S3-275666919,S3-703137056,S3-445653459
S1-181342679	S2-808256195,S2-948383856,S3-952227304,S3-794475039,S3-445263155
S1-181497142	S2-225058122,S3-14814318,S3-693496874
S1-182026676	S2-692541918,S3-994031823
S1-182472925	S2-207485628,S3-725129384,S3-654550984
S1-183038220	S2-580817025
S1-183143792	S2-847406204,S2-875301372,S3-980388287,S3-811470093
S1-183145941	S2-73727121,S2-631667999,S3-538197070
S1-1838589	S2-302601328,S2-582511298,S3-549577193
S1-183878283	S2-789226248,S2-8382760,S3-606973969,S3-796640923,S3-479556783
S1-18393760	S2-809881525,S2-228548622,S3-491775658,S3-3504721
S1-184112563	S2-654343662,S2-889585335,S3-331899040,S3-996874380
S1-184137996	S2-261336053,S2-604887916,S3-710622639,S3-398386668,S3-673093972
S1-184958491	S2-871325145,S2-596872653,S3-18911493
S1-185502834	S2-337275476,S2-446557062,S3-545244572
S1-185836464	S3-410904792
S1-185859119	S2-446592022,S3-911148338,S3-75089990,S3-398274836
S1-185918861	S2-520918725,S3-863361504
S1-187193171	S2-400696346,S2-711014162,S3-830623064
S1-187387873	S2-418415548,S2-741488075,S3-842250142
S1-187570412	S3-883958554,S3-199474833,S3-897857258
S1-187580275	
S1-187759653	S2-442046877,S2-929888436
S1-188134909	S3-139997234,S3-476847136,S3-135506976
S1-189282375	S2-335072963,S2-402721508,S3-5793915,S3-649391004,S3-586169200
S1-189583682	S2-708053816,S2-58404947,S3-805549477,S3-595103519
S1-189661882	S2-99840220,S3-313923291
S1-189867735	S2-805635192,S2-479874350,S2-607085475,S3-482238758
S1-190207937	S2-217872098,S3-244146766,S3-579900423
S1-190567859	S2-537701395,S2-674348773,S3-432857555
S1-191076207	S2-154798287,S3-954224944
S1-191209328	S2-565620456,S3-584137725,S3-99060690
S1-191406032	S2-808920042,S2-997975063,S3-488955310
S1-191490925	S2-219704771,S2-913615044,S2-729961171,S2-178445092,S3-93153052,S3-843951522
S1-191502	S3-791805853,S3-144704370,S3-472808991
S1-191510054	S2-879662215,S3-713391404
S1-191589302	S2-286290040,S2-570389051,S2-598356152,S3-258923029
S1-191612861	S3-398276111
S1-192037859	S2-270377240,S2-317686587,S3-789158740
S1-192066115	S2-142190454,S2-292025329,S3-18096391,S3-341494805
S1-192464263	
S1-192652606	S3-259837296,S3-111087522
S1-193577408	S2-601789983,S3-788045302,S3-678414323,S3-152515064
S1-193618187	S2-932603757,S2-641725400,S3-106454164,S3-942460482
S1-19445849	S2-457916502,S2-38243802,S3-697911492,S3-408031476
S1-195080397	S2-697800349,S2-261132122,S3-221786955,S3-885176570,S3-427100407
S1-195306212	
S1-195657416	S2-4171965,S2-564634614,S2-337580412,S3-774483537
S1-195659370	S2-68815643,S3-262859400,S3-774824867,S3-509992700,S3-980478653
S1-195839862	S2-344984473,S2-232134153
S1-195880082	S2-455340020,S2-419854416,S3-620297324,S3-449317669
S1-196016267	S3-610437410
S1-196124805	S2-521967779,S2-485936525,S2-862601602,S3-528767013
S1-196692460	S2-982615303,S3-483736577,S3-296083105,S3-307603223
S1-196860345	S2-760730678,S3-430987733
S1-196931737	S2-663917701
S1-197040995	S2-625376758,S2-684988232,S3-720863211,S3-872653492
S1-197531064	S2-422789141,S2-913095810,S2-388471861,S3-537111206,S3-148966530,S3-933108115
S1-197973049	S3-30159779,S3-694866766
S1-198675986	S2-215620421,S2-337672180,S2-957213140,S3-358091796,S3-971948820
S1-198739579	
S1-198841366	S2-264172545,S2-361825718,S3-433098719,S3-287756305,S3-328628579,S3-221405273
S1-198981444	S2-117212308,S2-911978044,S3-908296755,S3-584336928,S3-775043988
S1-199048795	S2-702881696,S3-13608450
S1-199080590	S2-749938832,S3-921846188,S3-662192819,S3-297796901
S1-199322081	S2-342838574,S3-401903678,S3-899357325
S1-19937151	S2-994664828,S2-55280690,S2-518097892,S3-156765328,S3-954846777,S3-457340542
S1-199702910	S2-750934992,S3-49154213
S1-199752364	S2-789129714,S2-52490238,S2-978727978,S3-641654539
S1-199923119	S2-627158185,S2-642520176,S2-439973702,S3-9004723,S3-269230299
S1-200125864	S2-406514859,S2-694302302
S1-200332639	S2-723735383,S3-863717766,S3-988699529,S3-578457144,S3-203804323
S1-200453197	S2-824544327,S2-842417062,S2-94769147,S2-891503194,S2-285784463,S3-772485615
S1-201570205	S2-113643742,S2-344117765,S3-320429670,S3-962341145
S1-202025302	S2-979287320,S2-775859231,S2-655457717,S3-285987646,S3-877768928
S1-202359521	S2-796056399,S3-14054909,S3-147711174
S1-202442008	S2-80056537,S2-533448274,S3-832983780,S3-659080786
S1-202503754	S2-830698718,S2-514444327,S2-410213908,S2-340146945,S2-253976027,S3-680689290,S3-389460829,S3-185853560,S3-280940689
S1-202578176	S2-621330435,S3-722014919,S3-869257198
S1-202618983	S2-741933157,S3-242878872,S3-470664676
S1-203284471	S2-4045213,S2-750161158,S2-154258976,S2-519362021,S3-469362667
S1-203772241	S2-537317398,S2-861997455,S2-30874922,S2-619184087,S3-810179605,S3-209197328
S1-203955016	S2-242114245,S2-396085677,S2-242193740,S2-911994188,S3-26196282,S3-296037036
S1-204351485	S2-564601054,S2-757741831,S3-899534815
S1-204431055	S2-120839022,S2-960824228,S2-369320705,S3-585458306,S3-878759218,S3-907664101
S1-205140592	
S1-205197806	S2-202284798,S3-865958022
S1-205348400	S3-528118977,S3-674775484
S1-205806884	S2-416410178,S2-481046975,S3-591317149,S3-261504242,S3-321758949
S1-206530017	
S1-206973671	S2-928825005,S3-2142984,S3-499485641
S1-207084028	
S1-207329319	S2-938952817,S2-696233561,S2-653613388,S3-358187913,S3-886772558
S1-20760503	S2-448113183,S2-770443175,S3-79536799
S1-208148903	S2-832971493,S3-881446618
S1-208682389	S2-824336574,S2-98296923,S2-13335367,S3-401976049
S1-20876055	S2-73444334,S2-317481128,S2-124172060
S1-208825334	S2-375649650,S2-628200834,S3-621370934,S3-118617406,S3-718888168,S3-654555013,S3-274497334
S1-208831154	S2-956241979,S2-600974031,S2-289436444,S3-894165708,S3-687684601
S1-209008446	S2-37848567,S2-464453661,S2-992532092,S3-353524462,S3-126144852
S1-209260214	S2-690657372,S3-547732956,S3-540215358,S3-123081077
S1-209364779	S2-851609662,S2-688278357,S3-705426035
S1-20960301	S2-548638935,S2-26018375,S3-238588179
S1-209655918	S2-547206995,S3-108884203,S3-321771782,S3-998771146,S3-464812285,S3-866245357
S1-209902848	
S1-210700579	S2-701424206,S2-956301422,S2-745023535,S2-192443816,S2-765845300,S3-236822143,S3-921138095,S3-658090168
S1-210935903	S2-657153982,S2-388023430,S2-154679414,S2-704632322,S2-842875529,S3-121609463
S1-211383900	S2-986102204,S2-422838826,S2-797549721,S3-733113697,S3-765822586,S3-442229774
S1-211517658	S2-2822251,S2-720034698,S2-660987981,S3-389785545,S3-43460541
S1-211535546	S2-1838652,S3-419719124
S1-21164424	S2-260357546,S2-580671099,S2-13606653,S3-247752040
S1-212190647	S2-130257014,S3-978927029
S1-212310311	S2-893294792,S2-161690317,S3-425298311
S1-212923073	
S1-213018937	S2-567428338,S2-769475421,S2-176806622,S2-736559544,S3-308117434,S3-71553162
S1-213733425	S2-536341305
S1-213755230	S3-327099463,S3-983604741,S3-237258334
S1-213892203	S2-37619142,S3-436043170,S3-89549110,S3-585994089
S1-213935895	S2-334005096,S2-262762836,S3-108925965
S1-214121848	S2-333263491,S2-926847333,S2-355410206,S3-153453727,S3-277384933,S3-386998082
S1-214131574	S2-847510214,S2-291984710,S2-5930054,S3-385303427,S3-156353642,S3-703881920
S1-214346352	
S1-214436767	S2-989352271,S2-901898079,S3-337777095,S3-212121152,S3-228411825
S1-214443273	S2-954357070,S3-477430018,S3-89025155,S3-631187513
S1-214642590	S2-210425021,S3-464414426,S3-360463644
S1-214884127	S2-714063931,S3-851678404
S1-215012656	
S1-215077056	S2-791309614,S3-881865064
S1-215328816	S2-99948078,S2-447467378,S3-896453517
S1-215683534	S2-859657806
S1-215958440	S2-526218184,S3-939697009
S1-216733182	S2-403025276,S2-860721008,S3-221870645,S3-83822646,S3-328673495
S1-216872097	S2-567961311,S2-575295048
S1-216969439	S2-379829925,S2-530030380,S3-12440513
S1-217911777	S3-602152094,S3-884549493
S1-218058354	
S1-219055946	
S1-219386036	S3-220033600,S3-737508475,S3-898578101
S1-219437524	S2-233253572,S3-673711694,S3-959903191
S1-219732879	S2-891547877,S2-582261003,S3-501279927
S1-219765772	S2-73475891,S2-359968183,S3-363685397,S3-985947781
S1-220062526	S2-876034402,S2-858911155,S2-917729622
S1-221020563	S2-338116139,S2-951845918,S2-743870592,S3-919275367
S1-22110427	S2-831293264,S3-638360623,S3-675623824,S3-587226018,S3-356070868
S1-221756656	S2-580609242,S2-51555053,S2-908433932,S3-830351025
S1-221941373	S2-971768566,S2-976668697,S2-848723508,S2-372140072,S3-853901115
S1-221963103	S3-749434807
S1-222212786	S2-231053383,S2-641562792,S2-371455229,S2-800988568,S3-685248022,S3-721062076
S1-222238684	S2-44323907,S3-808697220,S3-844839420
S1-222335156	S2-776771843,S2-857896467,S2-101631611,S2-49925078,S3-669403211
S1-222606235	S2-122923810,S3-851277886
